name,Lat,Long,fclass
Bible Institute of Texas,29.6827289,-95.1415987,school
Bricker Park,29.6727771,-95.357265,park
Burnet School,29.7507828,-95.0318735,school
Corpus Christi School,29.6746755,-95.4413296,school
Dominion Montessori School,29.7360622,-95.3796609,school
Fannin School,29.7449678,-95.378949,school
Harris County Youth Village,29.5704944,-95.0679321,school
Lamar High School,29.7419207,-95.4264985,monument
Lanier Junior High School,29.7419184,-95.4050875,school
Montrose School,29.7380325,-95.389084,school
Our Lady of Fatima School,29.7395116,-95.2384212,school
Pilgrim School,29.6873918,-95.4753063,school
Saint Augustine School,29.6785631,-95.2371569,school
Saint Frances Cabrini School,29.6363758,-95.2221402,school
Saint James School,29.7171738,-95.3674384,school
Saint Josephs School,29.7252274,-95.0018726,school
Saint Mary School,29.7196737,-95.3682718,school
Saint Pius V School,29.6992539,-95.2101019,school
Mary Immaculate Preschool,29.9063352,-95.4791069,school
Sacred Heart School,29.9121661,-95.05854,school
Christ the King School,29.7945551,-95.3791022,school
Elmore High School,29.8093928,-95.275213,school
Johnson Memorial School,29.8322609,-95.4486398,school
Memorial Hall School,29.7988387,-95.511053,school
Messiah School,29.7685614,-95.412995,school
Our Mother of Mercy School,29.7805051,-95.3291037,school
Resurrection School,29.7718941,-95.3024363,school
Assumption Catholic School,29.8718914,-95.3868823,school
Saint Ambrose School,29.8288375,-95.4632738,school
Saint Cecilias School,29.7788394,-95.5299426,school
Saint Charles School,29.8475616,-95.3689142,school
Saint Francis of Assisi School,29.8060597,-95.310214,school
Saint Mark School,29.7974497,-95.494386,school
Saint Rose of Lima School,29.8199487,-95.4152169,school
Saint Theresa School,29.7732666,-95.4302928,school
Settegast School,29.8088373,-95.2768797,school
Thomas Street Health Center,29.7767798,-95.3654605,clinic
Spring Branch High School,29.7955055,-95.5113309,school
Stanfield Park,29.8316143,-95.267157,park
Houston School,29.7177272,-94.9790941,school
KWWJ-AM (Baytown),29.7746707,-95.0154841,tower
