name,Lat,Long,fclass
Miami Design District,25.813414,-80.19342,attraction
Carver High School,25.7242677,-80.2592169,school
Citrus Grove School,25.7773212,-80.230049,school
Coconut Grove School,25.7284342,-80.2431052,school
Comstock School,25.7992649,-80.2253266,school
Corpus Christi School,25.8067646,-80.2092148,school
Dade School,25.7395449,-80.2519944,school
Dunbar School,25.7956539,-80.2033813,school
Flagler School,25.7714883,-80.2797727,school
Grand Avenue Park,25.7231566,-80.2606058,park
Greater Miami Academy,25.805098,-80.2261599,school
Gulliver School,25.7178789,-80.2522723,school
Holy Redeemer School,25.8389857,-80.2203263,school
Jackson Junior High School,25.8100978,-80.2250487,school
Kensington Park School,25.7798212,-80.2428273,school
LaSalle High School,25.7420447,-80.2117151,school
Marine Stadium,25.7428461,-80.1698865,stadium
Northwestern High School,25.8375968,-80.2161594,school
Orchard Villa School,25.8275972,-80.2197707,school
Saint Holmes School,25.8356525,-80.2161595,school
Saint Marys School,25.8428744,-80.2000478,school
Saint Michaels School,25.7756547,-80.241716,school
Saint Stephens School,25.7270453,-80.2425497,school
Saints Peter,25.7598218,-80.2133818,school
Santa Clara School,25.8042647,-80.2125483,school
Shadowlawn School,25.8209308,-80.1983811,school
Silver Bluff School,25.7431558,-80.2356049,school
Coral Way School,25.753711,-80.216993,school
Southside School,25.7617662,-80.1942144,school
Water Plant Park,25.722601,-80.2611614,park
Wheatley School,25.7934318,-80.1978256,school
Miami Northwestern Senior High School,25.8378746,-80.2164373,school
Holmes School,25.8356577,-80.2099938,school
Crowder School,25.8356525,-80.2100481,school
Biscayne Heights Park,25.8531518,-80.1797693,park
Legion Park,25.8364857,-80.198381,park
Miami River Rapids Mini Park,25.7931541,-80.2414383,park
54th Street Mini Park,25.8234308,-80.227271,park
African Square Park,25.831486,-80.2214374,park
Tacolcy Park,25.8314859,-80.2114371,park
Yahweh Education Center,25.8309304,-80.1975477,school
Champagnat Catholic School,25.7795435,-80.2386604,school
Miami Aerospace Academy,25.7725992,-80.235327,school
Pan American Institute,25.7659329,-80.2408827,school
Jose Marti School,25.7556554,-80.2381049,school
Allapattah Mini Park,25.7892653,-80.2086593,park
Saints Peter and Paul School,25.7598218,-80.2136596,school
Jose Marti Riverfront Park,25.770377,-80.1997702,park
Morningside Picnic Islands,25.8239861,-80.1725469,park
Broward Circle Park,25.7889875,-80.2092149,park
Highland Circle Mini Park,25.7862098,-80.2092149,park
Brickell Plaza Mini Park,25.7647319,-80.1926088,park
Miami Jackson Senior High School,25.8100978,-80.2247709,school
Kinloch Park Elementary School,25.7725993,-80.2650501,school
Martin Luther King Elementary School,25.8392635,-80.2156038,school
Educational Alternative Program,25.7884319,-80.1900476,school
Citrus Grove Occupational Training Center,25.7762102,-80.231438,school
North COPE Center,25.8248195,-80.2256042,school
Frances S Tucker Elementary School,25.7359339,-80.2544944,school
Coral Way Elementary School,25.7539887,-80.216993,school
Douglas Gardens Hospital,25.8237323,-80.19296,hospital
Martin Technical College,25.7792656,-80.2269933,school
Florida Career College,25.7803767,-80.2275489,school
Interamerican Christian School - Second Campus,25.8287083,-80.2194929,school
Happy Nest Learning Center,25.8256528,-80.2014368,school
Griffins Day Care Nursery School,25.8328748,-80.2158817,school
Centervilla School,25.8220419,-80.2236598,school
ABC Day Care Center,25.8048202,-80.1989368,school
Heritage School,25.8003759,-80.2044925,school
North Shores Child Care Center,25.8078756,-80.1864363,school
Northside Christian Day Care,25.8023203,-80.2253266,school
Shores School,25.80982,-80.2003257,school
Val-Don Day Care Center,25.8187086,-80.1967143,school
Young Years Day Care,25.8425966,-80.1919919,school
Turners Kindergarten,25.8362735,-80.1908369,school
Tots Town University Child Care Center,25.8473186,-80.1753247,school
Thomas Tots Kindergarten,25.8356524,-80.1864362,school
Sparks Kindergarten and Day Care,25.8450965,-80.1825472,school
Small Fry Educational Day Care - Third Campus,25.8431522,-80.1869917,school
Saint James Day Care,25.8542629,-80.1833805,school
Temple Beth Am Day School,25.7745436,-80.2378271,school
Suniland Academy,25.7617663,-80.2350492,school
Saint Thomas Episcopal Parish School,25.7770436,-80.2386604,school
Lingles School and Educational Clinic,25.7595441,-80.1983813,school
Gulliver Preparatory School,25.7562109,-80.2200487,school
Childrens House,25.7637106,-80.1967145,school
Cantwell Academy,25.7745436,-80.190881,school
Saint Hugh School,25.7126013,-80.2583836,school
Saint Lazarus Nursery/Kindergarten School,25.8225973,-80.2025479,school
Kiddie Ranch Nursery and Kindergarten,25.8059314,-80.2206041,school
Grapeland Park Preschool,25.7684328,-80.2539388,school
Easter Seal Demonstration School,25.8156532,-80.2164373,school
Champagnat Catholic School of Miami,25.8170421,-80.2081036,school
Brickell Christian School,25.7587107,-80.1983813,school
Corpus Christi School,25.8409301,-80.1953254,school
Elizabeth E Curtis Child Care Center,25.8384302,-80.203659,school
Eaton Day Care Center,25.7800989,-80.2022702,school
Holy Cross Day Care Center,25.7950983,-80.1925477,school
Arrowhead Nursery and Kindergarten,25.769544,-80.3056067,school
Kiddieland Child Care Center,25.7653775,-80.3161626,school
Christ-Mar School,25.793154,-80.2264377,school
Kinderland Preparatory School,25.799265,-80.2386603,school
Our Lady of Fatima Nursery School,25.7837098,-80.1994923,school
Palm Springs Presbyterian Kindergarten,25.8073201,-80.202548,school
Paradise Christian School,25.7962094,-80.2258821,school
West Hialeah Baptist Church Kindergarten,25.8073202,-80.2350491,school
Boulevard School,25.773988,-80.2211598,school
Coral Gate Park Preschool,25.7698215,-80.2058815,school
Atlantis Academy,25.7689882,-80.220882,school
Bethel Temple Kindergarten Day Care Center,25.7659328,-80.2247711,school
