name,Lat,Long,fclass
French Quarter,29.9594926,-90.0655403,attraction
Riccobono's Panola Street Cafe,29.95192,-90.1204526,cafe
Camellia Grill,29.9437635,-90.1338855,restaurant
Elephant Fountain,29.9227751,-90.1319799,fountain
Cooter Brown's Tavern,29.9424931,-90.1344011,pub
The Green Project,29.9694876,-90.0472967,recycling
The Green Project,29.9694876,-90.0472967,doityourself
Flora Coffee,29.9646516,-90.0512594,cafe
Anna's,29.9649524,-90.0512526,bar
Sound Cafe,29.9635362,-90.0506672,cafe
The Club Ms Mae’s,29.9207396,-90.1012357,bar
Costera,29.92449,-90.1087764,restaurant
St. Joe's Bar,29.9212893,-90.1169407,bar
"The Bulldog, Uptown",29.9234775,-90.0873491,bar
Picnic Provisions & Whiskey,29.9220329,-90.1214102,restaurant
The Vintage,29.9243529,-90.0860432,cafe
Lilette,29.921899,-90.0927089,restaurant
Nirvana Indian Cuisine,29.9207488,-90.1006745,restaurant
Avo,29.9216971,-90.1201416,restaurant
Dragon's Den,29.9619265,-90.0573878,nightclub
Gerken's Bike Shop,29.9687794,-90.0480415,bicycle_shop
Vaughn's Lounge,29.9619053,-90.0335969,pub
Fidelity Homestead,29.9472252,-90.1293278,bank
Lebanon's Cafe,29.9496344,-90.1275583,restaurant
Cafe Freret,29.9415579,-90.1254311,restaurant
La Madeleine,29.9430448,-90.1337009,cafe
Louisiana Pizza Kitchen,29.9431586,-90.1335003,restaurant
Bud's Broiler,29.9474599,-90.1129632,fast_food
Ted's Frostop,29.946943,-90.1136147,restaurant
Felipe's,29.9466673,-90.1129526,restaurant
Robert's Bar and Liquor Store,29.9469449,-90.1132467,pub
Pyramids Cafe,29.9473431,-90.1130233,restaurant
First Cup Café,29.9473887,-90.113296,cafe
Andrew Jackson,29.9574641,-90.0629497,monument
Andrew Jackson,29.9574641,-90.0629497,artwork
Torshi,29.9625727,-90.0577836,restaurant
New Orleans Fire Department Engine 9,29.9621423,-90.0577347,fire_station
Napoleon House,29.9558596,-90.0650706,restaurant
EnVie,29.9614657,-90.0587522,cafe
Hank's,29.9685687,-90.0495802,convenience
Balcony Bar and Cafe,29.9240397,-90.0866108,pub
"Rosa Keller Branch, N.O. Public Library",29.9485762,-90.1040418,library
Garden District Bookstore,29.9301324,-90.0849199,bookshop
Prytania Theatre,29.9251837,-90.1131641,cinema
Bennachin,29.9622245,-90.0608327,restaurant
Walgreens,29.9565614,-90.1203609,pharmacy
Robért Fresh Market,29.9571214,-90.1205407,supermarket
GNO Cyclery,29.9493842,-90.1279315,bicycle_shop
Whitney Carrollton Branch,29.9483802,-90.1289615,bank
"N. O. Public Library, Mid-City Branch",29.9749244,-90.1018232,library
Juan's Flying Burrito,29.9738553,-90.100909,restaurant
Brechtel Park,29.9077585,-90.010631,park
Bush School,29.9338156,-90.097017,school
Cabrini High School,29.9814386,-90.0882369,school
Carlson Park,30.0221464,-90.0714609,park
Christian Brothers School,29.9886877,-90.0916485,school
De Lasalle High School,29.9276073,-90.111972,school
Epiphany School,29.9863139,-90.0642382,school
Ferncrest School,29.991036,-90.0703495,school
Gentilly School,30.023813,-90.0478491,school
Holy Angels Academy,29.9654811,-90.0395153,school
Holy Cross School,30.0136187,-90.0754819,school
Holy Ghost Catholic School,29.9332601,-90.0920188,school
Howard School Number 2,29.9232604,-90.0925726,school
Incarnate Word School,29.9607594,-90.1197954,school
Lake Oaks Park,30.0321462,-90.0575717,park
Lewis School,29.9229826,-90.0786832,school
Live Oak Park,30.0278311,-90.0610225,park
London Park,30.0262096,-90.0726419,park
McDonogh Number 10 School,29.9345741,-90.0843353,school
McDonogh School,29.9396489,-90.1322959,school
14 Parishes,29.9543704,-90.0475712,restaurant
Ninth Ward School,29.9657589,-90.0289595,school
Oak Park Baptist Preschool Center,29.9329945,-90.0070175,school
Orleans Park,30.0232577,-90.0989617,park
Sojourner Truth Academy Charter School,29.9349267,-90.1036608,school
