name,Lat,Long,fclass
Kibler Park,43.1655945,-78.6723302,park
Inn By The Park,44.8968001,-75.1791306,guesthouse
Tri-State Marker,42.0495412,-73.4873386,monument
Tri-State Marker,42.0495412,-73.4873386,attraction
Northwood Elementary School,42.863407,-78.7428759,school
Fleischmanns Spirits,42.1564544,-74.5282017,beverages
Just Hair & More,42.1683117,-75.1313601,beauty_shop
Toy Town Museum,42.7726166,-78.6127146,museum
Fisher Price Toy Store,42.772802,-78.6121291,attraction
Seebers Tavern,42.3958183,-75.8084643,bar
Selkirk Lighthouse,43.5740174,-76.202089,lighthouse
SoHo,40.72288,-73.9987505,attraction
Bethpage Smiles Family Dental,40.7442056,-73.4821195,dentist
East Aurora Police Dept.,42.7675883,-78.613345,police
Griffon Gastropub,42.7680859,-78.6113159,restaurant
"Tony Rome's ""The Globe""",42.767621,-78.6083001,restaurant
Rick's on Main,42.7675639,-78.6092902,restaurant
East End Tap Room,42.7674792,-78.6086259,restaurant
Leo's Pizzeria,42.7645832,-78.633088,restaurant
None,42.8053598,-78.6224262,fire_station
Hunters Creek County Park,42.7434857,-78.5537977,park
Ontario Beach Park,42.8341507,-77.2565458,park
Mamakating Farmers Market,41.5667579,-74.4978371,market_place
Doral Arrowwood,41.0448319,-73.689125,hotel
Delaware Park Japanese Gardens,42.9352103,-78.8751269,attraction
Jim's Steak Out,42.8993729,-78.8772291,fast_food
Holly Farms,42.8995639,-78.8787798,convenience
Allen Street Hardware,42.8996791,-78.8792223,restaurant
El Coquito,42.8993775,-78.8790159,restaurant
Falley Allen,42.8993307,-78.8776432,restaurant
Allentown Wines and Spirits,42.8996853,-78.8795656,beverages
Days Park Tavern,42.8995948,-78.8793942,pub
Nietzsche's,42.8993841,-78.8793501,pub
Betty's,42.8967153,-78.878722,restaurant
Walgreens,42.9017705,-78.8737781,pharmacy
Colter Bay Grill,42.8995361,-78.873657,pub
Rick Cycle Shop,42.8995376,-78.8720469,bicycle_shop
Saibo African Imports,42.899535,-78.8731539,clothes
Fat Bob's Smoke House,42.8978911,-78.8733661,restaurant
Mother's,42.8976521,-78.8733404,restaurant
Taqueria Ranchos Dos,42.8963191,-78.8746278,restaurant
Gabriel's Gate,42.8996579,-78.8754776,restaurant
Frizzy's,42.8993199,-78.8752311,pub
Rochester Museum and Science Center,43.1523864,-77.5876579,museum
Staybridge Suites,42.1544044,-77.0551458,hotel
Charlie's Boat Yard,42.8510184,-78.864378,restaurant
Campus Wheelworks,42.920248,-78.8989003,bicycle_shop
Shickluna Bikes,42.9473954,-78.8401239,bicycle_shop
Handlebars Bike Shop,42.965135,-78.8437546,bicycle_shop
Starbucks,41.6608461,-73.9310721,cafe
West Lake Lean-to #2,43.597626,-74.6236029,shelter
Sampson Lake Lean-To,43.5804441,-74.5762241,shelter
West Lake Lean-to #1,43.5933046,-74.6269602,shelter
South Lake Lean-to,43.5866616,-74.6213832,shelter
Cantina,44.6696367,-74.9883811,pub
South Street Seaport,40.7057505,-74.0029056,attraction
Adirondack Regional Federal Credit Union,44.6822043,-74.9864263,bank
Jreck's Subs,44.670732,-74.9871372,fast_food
Evans and Whites,44.6680848,-74.987992,doityourself
Potsdam Middle School,44.6782023,-74.9745152,school
Building Blocks Day Care,44.679128,-74.9758087,kindergarten
Carol Lee Shoppe,44.6713765,-74.9870687,clothes
Potsdam Laundry & Dry cleaners,44.6716845,-74.9854374,laundry
Northern Interiors,44.6706129,-74.986674,furniture_shop
Argents,44.6700955,-74.9866934,jeweller
Bardavon,41.7031451,-73.9291122,theatre
Burger King,41.5373203,-73.8995849,fast_food
Chili's,41.6271056,-73.9160936,restaurant
KFC,41.5280088,-73.8993812,fast_food
Five Guys,40.7625151,-73.9766897,fast_food
C.V. Starr Intermediate School,41.4359525,-73.6050191,school
Scoops Downtown,44.6688614,-74.9854007,cafe
Main Street Barber,44.6687808,-74.9859368,hairdresser
Hair Salon & Tanning,44.6687809,-74.9860212,hairdresser
Willow Tree,44.6673349,-75.0204032,garden_centre
Olympia Sports,44.6648531,-75.0302713,sports_shop
North Country Medical,44.6424811,-75.0636889,doctors
Adirondack Furniture Center,44.6351821,-75.0769904,furniture_shop
Hospice of St. Lawrence County,44.6353237,-75.0801511,doctors
Clothes Closet,44.6315703,-75.0842432,clothes
Pizza Hut,44.5979018,-75.147601,restaurant
Burger King,44.5985661,-75.1475798,fast_food
Stewart's Shops,44.5975702,-75.1482144,convenience
Price Chopper,44.5983061,-75.1495687,supermarket
Best Western - University Inn,44.596385,-75.1489587,hotel
Mobil Mart,44.5973689,-75.150728,convenience
SeaComm FCU,44.5971882,-75.1515108,bank
St. Lawrence Health Urgent Care,44.5959192,-75.1528082,clinic
North Country Savings Bank,44.5958629,-75.1684801,bank
A-1 Oriental Kitchen,44.5956339,-75.1713012,restaurant
Nature's Storehouse,44.5955698,-75.1721593,supermarket
Sergi's,44.5955859,-75.1719736,restaurant
Carvel Hardware,44.5090157,-75.2678094,doityourself
DeKalb Post Office,44.5048968,-75.2742572,post_office
Green Thumb Therapy,44.4787336,-75.3077506,garden_centre
Silver Cent Diner,44.4571482,-75.3556509,restaurant
St. Lawrence County Transfer Station,44.3762929,-75.4212174,recycling_glass
Spellicy Auto Sales,44.3455327,-75.4472741,car_dealership
Casablanca Restaurant,44.3410411,-75.4533859,restaurant
Price Chopper,44.3410616,-75.4549137,supermarket
Tappan Zee High School,41.0490834,-73.9540164,school
Grand Union,44.3291535,-74.1300123,supermarket
Burger King,41.1417812,-73.9899489,fast_food
McDonald's,41.1541178,-73.9860549,fast_food
New City Library,41.1582663,-73.9879764,library
Ward Marsh Wildlife Management Area,43.5986774,-73.3837241,park
Pine Flat School,41.8017549,-75.0807235,school
Adirondack State Park,43.0956269,-74.5687537,park
Former Site of Plandome Road School,40.7951395,-73.699935,school
Abbott School,41.0437081,-73.8587459,school
Adams Recreation Field,43.9883948,-75.8999233,park
Addams School,42.9617525,-78.8526427,school
Adirondack Bible College,43.1942393,-74.0470729,school
SUNY Adirondack,43.3523728,-73.6557479,college
Adirondack Educational Center,44.3514399,-74.1154318,school
Advent Tuller School,40.7670448,-73.5840159,school
Ainger Hill School,44.2211631,-73.4067942,school
The Albany Academy,42.646032,-73.7872561,school
Albany Bush School,42.9893389,-74.3273402,school
John D. Caemmerer Park,40.7645249,-73.650122,park
Alden Christian School,42.8875594,-78.5516911,school
Alfred-Almond Central School,42.2947919,-77.7502717,school
All Hallows School,40.8300674,-73.9220432,school
All Saints High School,40.7012239,-73.9445117,school
All Saints School,42.957835,-78.9033706,school
Allendale School,42.812559,-78.7655865,school
Allenwood Park,40.7953122,-73.7229603,park
Amsdell Heights Junior High School,42.7370034,-78.8953124,school
Anderson School,41.8298152,-73.9373591,school
Annunciation School,40.9698204,-73.820689,school
Annunciation School,42.8553372,-78.6058593,school
Anthony Wayne Recreation Area,41.2970382,-74.0262527,park
Archbishop Stepinac High School,41.0078755,-73.7534649,school
Arthur Gates School,43.0408989,-76.6177229,school
Ashland Avenue School,43.0989444,-79.0544889,school
Ausable Marsh State Game Management Area,44.5642132,-73.4318003,park
Avery School,41.0842632,-73.7987444,school
Bacon Brook School,43.0936817,-74.7423704,school
Richard J Bailey School,41.0428749,-73.7901328,school
Baker Field,40.8731554,-73.9140253,park
Bard College,42.0216207,-73.906885,college
Barnabite Fathers Seminary,43.1993743,-79.0073192,school
Barrett Beach Park,40.6723214,-73.0409435,park
Battle Hill Junior High School,41.0307914,-73.7825728,school
Rosenthal JCC,41.1296817,-73.758667,community_centre
Beaver Meadow School,42.7814592,-75.4404525,school
Beaver River School,43.8803468,-75.4368525,school
Beech Avenue School,43.1157595,-79.0403369,school
Beech Hill School,43.1281314,-73.4534462,school
Beecher School,42.0950743,-76.7932886,school
Beekman School,41.6034269,-73.7090187,school
Beekman School,43.0547933,-74.7104242,school
Bell School,41.772316,-73.576515,school
Bell School,42.0770212,-75.8054684,school
Bell-Isle Park,43.2111806,-75.4385075,park
Bellwood School,42.8436697,-78.788921,school
Belmont Park,40.7139914,-73.7179091,park
Bennett High School,42.9439466,-78.8322567,school
Bennett School,42.0100922,-74.2662582,school
Bermingham School,40.8553767,-73.5223461,school
High School for Health Professions and Human Services,40.732711,-73.9825978,school
Beth Jacob Seminary,40.7097874,-73.963484,school
Bethlehem Park School,42.8111697,-78.841978,school
Betsy Ross School,42.9591771,-78.8825118,school
Davis College,42.1009085,-75.9629758,school
(Formerly) Archbishop Walsh HS,42.0792316,-78.4564096,school
Black Creek School,43.23868,-74.9268222,school
Blessed Sacrament School,40.6734364,-73.7087423,school
Blessed Sacrament School,42.9658909,-78.8305902,school
Blessed Sacrament School,43.1442291,-77.5883334,school
Blessed Trinity School,42.9318774,-78.8340401,school
Bloodgood School,42.8909049,-75.0496021,school
Boces School,41.7612044,-74.0820871,school
Bolby School,42.3203503,-77.2830341,school
Bolivar Road School,43.062845,-75.8857476,school
Bonesteel School,42.7331337,-73.5098364,school
Boston Valley School,42.6822821,-78.775586,school
Boys High School,40.6848253,-73.9479156,school
Bramley Mountain School,42.2875844,-74.7973802,school
Brighton Park,43.0020016,-78.8453134,park
Brink School,42.1186859,-76.0163117,school
Broad Street School,42.1011858,-76.0463128,school
Broad Street School,42.1659079,-76.8360683,school
Broad Street School,43.3053498,-73.6567839,school
Broadway School,40.8709315,-73.3665073,school
Broadway Grammar School,41.5014827,-74.0206961,school
Broadway School,42.0609075,-76.8194011,school
Brockway School,41.5323159,-73.9729166,school
Bromley School,43.2289578,-75.0132136,school
Brookside Elementary School,41.1745396,-73.8337461,school
Brookside Elementary School,42.0287232,-75.8934459,school
Brookside School,43.1128404,-77.570277,school
Former Site of Brookville School,40.835655,-73.5692924,school
Broome Community College,42.1359089,-75.9079737,college
Brown School,42.9564599,-74.9915445,school
Brownville State Game Farm,44.0214459,-76.0090937,park
Brush Park,40.8978773,-73.8284673,park
Brushton-Moira School,44.8250514,-74.5196232,school
Buffalo Seminary,42.924502,-78.8747581,school
Bullard School,43.1495138,-75.0098795,school
Burr-Winkle Park,40.8569013,-73.2849655,park
Bushwick High School,40.6971081,-73.9116987,school
Butler Field,40.9937089,-73.7942993,pitch
Byron Lake Park,40.738154,-73.1340018,park
C F Johnson School,42.1123878,-75.9637547,school
