name,Lat,Long,fclass
Chula Vista,29.565358,-98.7342441,viewpoint
Little Windmill,29.587092,-98.7554575,windmill
North Bluff Spurs Overlook,29.5573643,-98.760556,viewpoint
South Bluff Spurs Overlook,29.5524097,-98.7627621,viewpoint
Pei Wei,29.5495853,-98.6622226,restaurant
Torchy's Tacos,29.5543142,-98.6648827,restaurant
Half Price Books,29.5541947,-98.6647196,bookshop
Panda Express,29.5494236,-98.6653805,fast_food
Canyon Overlook,29.5823533,-98.7658153,viewpoint
Rack Room Shoes,29.4913278,-98.7107841,shoe_shop
rue21,29.4907722,-98.7110083,clothes
Cali Nails,29.4912341,-98.7088762,beauty_shop
Men's Wearhouse,29.4907909,-98.7076958,clothes
AT&T,29.4916166,-98.7072964,mobile_phone_shop
Annunication School,29.4160677,-98.2058434,school
Clifton School,29.6296705,-98.8008597,school
Goebel School,29.4721769,-98.1602869,school
Holy Spirit School,29.5380068,-98.5052958,school
Immaculate Conception School,29.4074558,-98.5208511,school
International Bible College,29.4655094,-98.5852975,school
Johnson School,29.4121778,-98.5125175,school
Lakeview School,29.4333782,-98.5383652,school
Lincoln School,29.4232886,-98.5825194,school
Martinez State Park,29.482176,-98.2980681,park
Midway School,29.4224564,-98.1927875,school
Nazarene Seminary,29.4413435,-98.5169623,school
Our Lady of Perpetual Help School,29.5849502,-98.3075129,school
Redeemer School,29.4680093,-98.5305739,school
Saint Agnes School,29.4357882,-98.5152955,school
Saint Anthony Junior Seminary,29.4602317,-98.4900172,school
Saint Gregory School,29.498286,-98.5444633,school
St. John Berchmans Catholic School,29.3971783,-98.5508518,school
Saint John Bosco School,29.4321771,-98.5711302,school
Saint John School,29.4763594,-98.4970531,school
Saint Leo School,29.3816234,-98.500017,school
Saint Luke School,29.4857865,-98.4797393,school
Saint Mary Magdalen School,29.4774533,-98.5230738,school
Saint Mary School,29.4254279,-98.4910755,school
Saint Monica School,29.5177303,-98.3089017,school
Saint Patrick School,29.439677,-98.4672387,school
Saint Paul School,29.3986031,-98.4815039,school
Saint Paul School,29.4696758,-98.5472409,school
Saint Pius X School,29.506897,-98.4352939,school
Saint Teresa Academy,29.3835678,-98.4777942,school
Saint Thomas More School,29.4946062,-98.4060216,school
Trinidad School,29.4279177,-98.5330404,school
Harmony School,29.297738,-98.3844583,school
Holy Name School,29.3627355,-98.4216817,school
La Salle High School,29.359888,-98.5342105,school
Mission Road Foundation School,29.3363287,-98.4617983,school
Oak Crest Junior High School,29.3521808,-98.2933453,school
Our Lady of Angels School,29.372793,-98.5274418,school
Saint Joseph School,29.3680917,-98.5463479,school
Saint Lawrence School,29.3385693,-98.4991834,school
South Side High School,29.2402397,-98.4700154,school
Thelma School,29.2207958,-98.5002939,school
Healy-Murphy Center,29.4273209,-98.4809303,doctors
Lackland High School,29.3791234,-98.6130755,school
Latin American Bible Institute,29.5435624,-98.7061342,school
Mackey Developmental Center,29.4943671,-98.4354172,school
Stillman Park,29.3865379,-98.6034443,park
KSJL-AM (San Antonio),29.4496772,-98.3094571,tower
KXTN-AM (San Antonio),29.4149561,-98.3436245,tower
KSLR-AM (San Antonio),29.3916236,-98.3502912,tower
KTSA-AM,29.497,-98.4164404,tower
KZEP-AM (San Antonio),29.4082894,-98.4444603,tower
KFIT-AM (San Antonio),29.2924598,-98.5327951,tower
KONO-AM (San Antonio),29.437455,-98.4222376,tower
KISS-AM (Terrell Hills),29.5185633,-98.4072376,tower
KSYM-FM (San Antonio),29.446692,-98.4982707,tower
KRTU-FM (San Antonio),29.4641225,-98.4824488,tower
KPAC-FM (San Antonio),29.5183873,-98.5695702,tower
KEDA-AM (San Antonio),29.3585692,-98.35168,tower
KCHG-AM (Somerset),29.2352691,-98.7286479,tower
KWCB-FM (Floresville),29.1844081,-98.5139054,tower
KXPZ-FM (Lytle),29.244405,-98.7411341,tower
KSRR-FM (San Antonio),29.1844081,-98.5139054,tower
KSAQ-FM (San Antonio),29.6336005,-98.6309157,comms_tower
KMMX-FM (Terrell Hills),29.1844081,-98.5139054,tower
KLRN-TV (San Antonio),29.3274234,-98.3548945,tower
KVDA-TV (San Antonio),29.2944054,-98.2586221,tower
KABB-TV (San Antonio),29.2910721,-98.270289,tower
Accelerated Learning School,29.4242964,-98.5825165,school
Alamo Achievement Center,29.4119001,-98.5125175,school
Building Alternative Charter School,29.4896753,-98.431127,school
Oak Crest Intermediate School,29.3463477,-98.2908452,school
P F Stewart Elementary School,29.3982898,-98.4311265,school
Lackland Elementary School,29.3966228,-98.6236314,school
Losoya Intermediate School,29.2396567,-98.4697296,school
John Glenn Elementary School,29.350674,-98.2937876,school
Judson Learning Academy,29.5960537,-98.3502975,school
Judson Senior High School,29.5221746,-98.3091795,school
Gonzales Achievement Center,29.4543987,-98.486406,school
Harlandale Alternative Center,29.3430138,-98.4805718,school
Harmony Hills Elementary School,29.5371734,-98.5000179,school
Heritage Middle School,29.3553218,-98.3342568,school
Edgewood Competency Based High School,29.4241186,-98.5827504,school
Virginia A Stacey Junior and Senior High School,29.3786592,-98.6129101,school
W M Pearce Primary School,29.2398626,-98.4704806,school
Walzem Elementary School,29.510508,-98.4033487,school
Somerset Elementary School,29.225613,-98.6545551,school
South San Antonio Alternative School,29.3691238,-98.555574,school
Southside Alternative Center,29.2400967,-98.4707059,school
Southside Middle School,29.2393197,-98.4708132,school
Southwest Preparatory School,29.488772,-98.4431763,school
Transitions School,29.5182853,-98.5314075,school
Northview Early Childhood Center,29.5430073,-98.2977904,school
Rose Garden Elementary School,29.5535625,-98.2902902,school
Methodist Children's Hospital,29.507212,-98.572054,hospital
Saint Peters Catholic School,29.4738424,-98.4614055,school
Fort Sam Houston Branch Post Office,29.4499916,-98.4541672,post_office
Seventh Day Adventist Junior Academy,29.4921752,-98.4191823,school
Kenwood Child Development Center,29.4724535,-98.4936285,school
Radio Tower,29.4596578,-98.4070565,tower
Saint Anthony High School,29.4605095,-98.4900172,school
Laurel Heights Station Post Office,29.4521741,-98.4912661,post_office
KSAT 12-TV Tower,29.4366969,-98.483915,tower
J Frank Dobie Post Office,29.4233333,-98.395,post_office
Los Jardines Post Office,29.4264175,-98.5699281,post_office
Nimitz Post Office,29.5343281,-98.4925831,post_office
Northeast Annex Post Office,29.5406102,-98.3706973,post_office
Serna Post Office,29.5026495,-98.4145475,post_office
Tejeda Station Post Office,29.3534654,-98.5476151,post_office
Academy of Careers and Technologies Charter School,29.3960666,-98.4861552,school
Alamo Heights Presbyterian Day School,29.4844168,-98.4671142,school
Aragon Spanish Academy,29.6165608,-98.453912,school
Believers Academy,29.5651321,-98.3672975,school
Career Plus Learning Academy,29.4120868,-98.4049755,school
The Christian School at Castle Hills,29.5334082,-98.5243489,school
Christ Our Savior School,29.4996746,-98.5080686,school
Colonial Hills United Methodist School,29.5277,-98.5406,school
Concordia University at San Antonio,29.5174215,-98.4546547,school
Crown of Life Lutheran Preschool,29.6321225,-98.4978288,school
Eisenhauer Road Baptist School,29.496293,-98.4182741,school
Gateway Christian School,29.3679015,-98.6152928,school
Grace Christian School,29.5431167,-98.640531,school
Guadalupe Baptist Theological Seminary,29.4098492,-98.4507051,school
Higgs Carter King Gifted and Talented Charter,29.4467914,-98.509034,school
Highland Hills Baptist School,29.3767267,-98.4498348,school
Holy Trinity Presbyterian Day School,29.589232,-98.3577633,school
Immaculate Conception Kindergarten and Nursery,29.4296671,-98.5216737,school
James Cook School of Medicine,29.5866813,-98.5554452,school
John Calvin Presbyterian Church Preschool,29.511389,-98.380833,kindergarten
Texas Neurosciences Institute,29.509931,-98.571492,clinic
Atascosa Post Office,29.288771,-98.7057792,post_office
Harlandale Post Office,29.3618538,-98.4930078,post_office
CVS Pharmacy,29.413013,-98.4050803,pharmacy
Los Angeles Heights Child Development Center,29.4715413,-98.5172426,school
Rainbow Hills Baptist Church School,29.4090635,-98.6571638,school
Seminario Biblico Bautista,29.3960211,-98.4656268,school
Trinity Community Arts Center,29.4696409,-98.5399165,community_centre
Kipp Aspire Academy,29.4746271,-98.5263133,school
La Petite Academy,29.5071885,-98.4716195,school
La Petite Academy,29.5891177,-98.3792611,school
La Petite Academy,29.4940436,-98.3328545,kindergarten
La Petite Academy,29.4923413,-98.5975945,school
La Petite Academy,29.357357,-98.5146941,kindergarten
Lighthouse Charter School,29.519167,-98.393333,school
Lutheran High School,29.5230831,-98.6130946,school
Montessori San Antonio Country Day School,29.5780194,-98.410637,school
Montessori School International,29.5165285,-98.5755053,school
New Directions School,29.4873833,-98.4476947,school
New Elementary School,29.3630004,-98.359973,school
New Frontiers Charter School,29.3836573,-98.4767992,school
New Frontiers Middle School,29.3836573,-98.4767938,school
Northwood Presbyterian Day School,29.5063353,-98.4383342,school
Oblates of Mary Immaculate Oblate Vocation Center,29.5049347,-98.5022193,school
Omega Academic Center,29.3499884,-98.4818204,school
Omega Academic Center,29.377598,-98.405271,school
Our Lady of Peace Catholic School,29.4080376,-98.520908,school
Our Lady of Perpetual Help School,29.4135815,-98.4492875,school
Our Ladys Pre-Kindergarten,29.5222612,-98.5416641,school
Our Savior Lutheran School,29.547976,-98.5662161,school
Roy Maas Youth Alternatives School,29.4883099,-98.5263333,school
Royal Point Academy,29.3915152,-98.6874036,school
Saint Andrews United Methodist Church Weekday School,29.4979308,-98.449688,school
Saint Anns Religious Education Center,29.4499494,-98.5124837,school
Saint Davids Episcopal School,29.4812094,-98.4382461,school
Saint Johns Lutheran School,29.4206332,-98.4897199,school
Saint Lawrence Day Care and Learning Center,29.3389029,-98.5004229,school
Saint Margarets Episcopal Day School,29.5828342,-98.3842742,school
Saint Mark the Evangelist Catholic Preschool,29.5902804,-98.4666543,kindergarten
Saint Paul Catholic Learning Center,29.4653076,-98.5499704,school
Saint Paul Lutheran Child Development Center,29.3986855,-98.4818038,school
San Andres Catholic School of Evangelization,29.4321038,-98.5058559,school
San Antonio Country Day School,29.5780194,-98.410637,school
San Antonio School For Inquiry and Creativity,29.4759103,-98.4991926,school
Shekinah Radiance Academy,29.3606547,-98.5956613,school
Shekinah Walzem School,29.5009812,-98.3570676,school
Southwest Preparatory School Northwest Campus,29.4884003,-98.5726017,school
Southwestern Baptist Seminary,29.6051885,-98.4713193,school
The Childrens Center of Stone Oak,29.6144956,-98.4917791,kindergarten
The Guardian Angel School of Performing Arts,29.508304,-98.4108119,school
Trinity United Methodist School,29.4968813,-98.5911798,school
University Presbyterian Church Childrens Center,29.4623638,-98.4870575,school
Valley Hi Assembly of God Day Care Center,29.38769,-98.6443071,school
Wright Start Learning Center,29.5392146,-98.5518048,school
Children's World Learning Center,29.4656313,-98.6455244,kindergarten
Children's Enrichment Center,29.4951353,-98.5695589,kindergarten
Children's World Learning Center,29.5591427,-98.3961543,kindergarten
Children's World Learning Center,29.5069291,-98.3816543,kindergarten
Childtime Learning Centers,29.5774615,-98.3740174,kindergarten
A Place for Kids,29.4896756,-98.623125,kindergarten
Acorn a School for Young Children,29.4584808,-98.4693114,kindergarten
Poppys Kiddie Kampus,29.3299469,-98.5347883,kindergarten
Creative Little Minds,29.3511202,-98.5159816,kindergarten
Ismalia Cultural Center,29.5164692,-98.4191959,arts_centre
San Antonio Fire Department Station Number 6,29.4512957,-98.4984077,fire_station
Geronimo Village Volunteer Fire Department,29.4545285,-98.7553653,fire_station
